UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Panda Options,@PandaOptions,2021-09-02T23:35:21.000Z,"Panda Options
@PandaOptions
·
Sep 2, 2021","$TSLA Some tight action just under the 744 level. Keeping a close eye on this name for a break over 744. Possible to see 779 next

$SPY $AMZN $AAPL $BA $NFLX $AMD $ROKU $NVDA $FB $TWLO $BYND $PYPL $DOCU $CRWD $ETSY $SQ $MSFT $BABA $ZM
@TrendSpider",🐼,4,8,60,[],https://twitter.com/PandaOptions/status/1433574297730170882
Panda Options,@PandaOptions,2021-09-02T23:32:26.000Z,"Panda Options
@PandaOptions
·
Sep 2, 2021","$NVDA Healthy looking pull back so far off ATHs. If 223 holds then can see another test at 227. Over 227 can see 230, 237, 245 next

$SPY $AMZN $AAPL $BA $NFLX $TSLA $AMD $ROKU $FB $TWLO $BYND $PYPL $DOCU $CRWD $ETSY $SQ $MSFT $BABA $ZM
@TrendSpider",🐼,1,3,39,[],https://twitter.com/PandaOptions/status/1433573561277599744
Daddy WarBucks,@MatthewDenmar,2021-09-02T23:04:58.000Z,"Daddy WarBucks
@MatthewDenmar
·
Sep 2, 2021","$ZM Large Insider Sell Transaction at 2021-09-02 18:54:24
Symbol
ZM
Total Shares
13.4K
Total Amount
-1.97M",,,,3,[],https://twitter.com/MatthewDenmar/status/1433566651878871051
Michael,@dtr_trading,2021-09-02T23:03:08.000Z,"Michael
@dtr_trading
·
Sep 2, 2021",$ZM Sept 3rd Blueprint,🚀,,,,['https://pbs.twimg.com/media/E-UM17YX0AQsy6t?format=jpg&name=medium'],https://twitter.com/dtr_trading/status/1433566188089524233
Insider Forms,@InsiderForms,2021-09-02T23:01:12.000Z,"Insider Forms
@InsiderForms
·
Sep 2, 2021","$ZM Insider Bawa Aparna has Sold 11,125 Shares.
Title :Chief Operating Officer
Total Cost: $3,294,422.08
Buy/Sell  : Sell (10b5-1 Plan)

Try Insider Forms mobile app from App Store, get realtime notifications and more",,,,,['https://pbs.twimg.com/card_img/1645907440192622592/vT84NH_E?format=jpg&name=medium'],https://twitter.com/InsiderForms/status/1433565701630042118
Brandon,@BrandonSardelli,2021-09-02T23:00:54.000Z,"Brandon
@BrandonSardelli
·
Sep 2, 2021",From touching these bulls’ balls my $ZM calls are going to be blessed back up to $400 in a week. #bull #blessed,,,,2,['https://pbs.twimg.com/media/E-UMVXaXEAEu8cs?format=jpg&name=medium'],https://twitter.com/BrandonSardelli/status/1433565626216419333
Stranger Capital,@StrangerCapital,2021-09-02T22:53:17.000Z,"Stranger Capital
@StrangerCapital
·
Sep 2, 2021","""Heidi... did you buy calls a week out on $ZM prior to earnings...""",,,,,['https://pbs.twimg.com/media/E-UKmIRVUAMUO6V?format=jpg&name=medium'],https://twitter.com/StrangerCapital/status/1433563709201436675
alex Starcevic,@starcevic_alex,2021-09-02T22:50:35.000Z,"alex Starcevic
@starcevic_alex
·
Sep 2, 2021","Unusual Stocks Options Activity
$WDC
Put
57.00
09/17/21
$SHOP
1,542.60
Call
1,600.00
09/03/21
$AAPL
153.65
Put
136.00
09/17/21
$ACI
33.08
Call
35.00
09/17/21
$HYZN
10.14
Call
10.00
10/15/21
$MARA
42.20
Call
45.00
09/03/21
$NKLA
10.66
Put
11.00
$ZM
295.09
Call
300.00",,,,1,[],https://twitter.com/starcevic_alex/status/1433563030697091080
Shelly Kramer | The Futurum Group,@ShellyKramer,2021-09-02T22:28:03.000Z,"Shelly Kramer | The Futurum Group
@ShellyKramer
·
Sep 2, 2021","Video communications giant 
@Zoom
 ( $ZM ) reported its fiscal Q2 2022 #earnings after the bell on Monday, beating analysts’ expectations on the top and bottom line. But the company’s growth has slowed as businesses and schools reopen. https://bit.ly/3jvL3pq",,,,2,['https://pbs.twimg.com/media/E-UE0UmVgAMkQtB?format=jpg&name=medium'],https://twitter.com/ShellyKramer/status/1433557361642258441
Neal Ellis,@NealEllis16,2021-09-02T22:26:08.000Z,,,,,,,[],https://twitter.com/NealEllis16/status/1433556878873620482
,,2021-09-02T21:57:57.000Z,,"$AMC , $BBIG , $SPRT , $MMAT , $GME , $GSAT , $SONN , $TSLA , $SNDL , $HOOD , $XELA , $ACIU , $NAKD , $ZM , $OCGN , $RHE , $SOS , $SKLZ , $ANY , $AAPL , $ZEV , $ELYS , $SAVA , $RNXT , $LCID , $PFE , $NIO , $SYTA , $SPCE , $KPLT , $SPRT $BTC $SPrT",,,,1,[],https://twitter.com/xavierdvega/status/1433549785118633995
