UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
,,2016-01-01T23:58:53.000Z,,,,,1,1,[],https://twitter.com/thomashorrobin/status/683074947644657664
fr@nk,fr@nk,2016-01-01T23:55:56.000Z,"fr@nk
@frankkigozi99
·
Jan 1, 2016",The Best Apple Inc. Headlines in 2015: Apple (NASDAQ: AAPL ) shares headed into the last day of 2015 priced ne... http://bit.ly/1Vvdjnx,,,,,[],https://twitter.com/frankkigozi99/status/683074206049775616
Dividend Income,@PassDivInc,2016-01-01T23:47:46.000Z,"Dividend Income
@PassDivInc
·
Jan 1, 2016",,,,,,[],https://twitter.com/PassDivInc/status/683072153160421376
,,2016-01-01T23:47:25.000Z,,,,,,,['https://pbs.twimg.com/media/CXrCbAVUAAAyeZx?format=jpg&name=small'],https://twitter.com/MacHashNews/status/683072062764658689
,,2016-01-01T23:35:42.000Z,,,,,,,['https://pbs.twimg.com/media/CXq_u68WMAUtU5q?format=jpg&name=large'],https://twitter.com/georgemcgown/status/683069115922173952
,,2016-01-01T23:33:16.000Z,,,,,,,[],https://twitter.com/georgemcgown/status/683068500991057920
,,2016-01-01T23:31:47.000Z,,,,,,,[],https://twitter.com/AndisHarasani/status/683068130743160834
CNA Finance,@CNAFinance,2016-01-01T23:31:29.000Z,"CNA Finance
@CNAFinance
·
Jan 1, 2016",Trending Tech Stocks | AAPL | NEON | PLUG | BBRY | FB http://cnafinance.com/trending-tech-stocks-aapl-neon-plug-bbry-fb/2213…,,,,,[],https://twitter.com/CNAFinance/status/683068054800961536
dmackdaddy,@dmackdaddy,2016-01-01T23:31:06.000Z,"dmackdaddy
@dmackdaddy
·
Jan 1, 2016","""iPhone fitness apps to help you keep that New Year's resolution"" $AAPL http://appleinsider.com/articles/16/01/01/iphone-fitness-apps-to-help-you-keep-that-new-years-resolution…",,,,,[],https://twitter.com/dmackdaddy/status/683067956947894272
moof,@moof15,2016-01-01T23:28:47.000Z,"moof
@moof15
·
Jan 1, 2016",$aapl selling 1.2 mill iphones in India in F16Q1 & 3.3 mill for F16,,,,,['https://pbs.twimg.com/card_img/1640073579504058369/iYvl8j_9?format=jpg&name=medium'],https://twitter.com/moof15/status/683067374266920960
BOWS,@bullsonwallst,2016-01-02T23:58:17.000Z,"BOWS
@bullsonwallst
·
Jan 2, 2016","How to trade when a stock you are holding gaps down - http://bit.ly/1PDukLQ 
@PaulJSingh
 #stocks #trading $aapl",,,2,2,[],https://twitter.com/bullsonwallst/status/683437187912888320
ning,@ninghiransaroj,2016-01-02T23:50:35.000Z,"ning
@ninghiransaroj
·
Jan 2, 2016","@tim_cook
 - We should be able to make iPhone read #eBook outloud w/out buying Audio Book format $AAPL $AMZN $GOOGL 
@amazon
 @google
 #Apple",,,,,[],https://twitter.com/ninghiransaroj/status/683435247451672576
Lucky Jimmy,@1LuckyJimmy,2016-01-02T23:47:04.000Z,"Lucky Jimmy
@1LuckyJimmy
·
Jan 2, 2016","RWM Short Russell 2000 Fund Stock Message Board
http://dlvr.it/D9KpVz

$RWM $AAPL $EEM $FSLR #RWM #share #share",,,,1,[],https://twitter.com/1LuckyJimmy/status/683434363871080448
Maverick,@BQinvesting,2016-01-02T23:46:02.000Z,"Maverick
@BQinvesting
·
Jan 2, 2016","Replying to 
@chigrl",🛢 💵 🍁,,,1,[],https://twitter.com/BQinvesting/status/683434105166512128
Stock Forums,@stock_forums,2016-01-02T23:43:11.000Z,"Stock Forums
@stock_forums
·
Jan 2, 2016","$ERBB Stock Forum Updated Saturday, January 2, 2016 6:41:23 PM $AAPL $EPGL $NWBO $MINE http://dlvr.it/D9Kjph",,,,,[],https://twitter.com/stock_forums/status/683433384656257024
Stock Forums,@stock_forums,2016-01-02T23:43:09.000Z,"Stock Forums
@stock_forums
·
Jan 2, 2016","$AAPL Financials Updated Saturday, January 2, 2016 6:41:23 PM $DOLV $PFSD $SIPC $TPAC http://dlvr.it/D9Knfq",,,,,[],https://twitter.com/stock_forums/status/683433379107217408
Stock Forums,@stock_forums,2016-01-02T23:43:03.000Z,"Stock Forums
@stock_forums
·
Jan 2, 2016","$PPHM Recent News Updated Saturday, January 2, 2016 6:41:23 PM $AXXE $AAPL $TPAC $ONE http://dlvr.it/D9Kjhm",,,,,[],https://twitter.com/stock_forums/status/683433353714909184
LSM,@LSMiressi,2016-01-02T23:39:57.000Z,"LSM
@LSMiressi
·
Jan 2, 2016",I think $aapl will be doing just fine this year. Mobbed.,,1,,2,['https://pbs.twimg.com/media/CXwKTg0WQAE05-5?format=jpg&name=medium'],https://twitter.com/LSMiressi/status/683432574023262209
MacHash,@MacHashNews,2016-01-02T23:16:03.000Z,"MacHash
@MacHashNews
·
Jan 2, 2016",How to make iOS 9's default apps disappear http://dlvr.it/D9KTL3 #AppleInsider $AAPL,,,,1,['https://pbs.twimg.com/media/CXwE1ZqUsAAfTlv?format=jpg&name=medium'],https://twitter.com/MacHashNews/status/683426559051448320
Chasing Stars,@Chasing__Stars,2016-01-02T23:13:09.000Z,"Chasing Stars
@Chasing__Stars
·
Jan 2, 2016","$NOW Opinions Updated Saturday, January 2, 2016 5:45:47 PM $LTNC $BTFL $GDAR $AAPL http://dlvr.it/D9KGhL",,,,,[],https://twitter.com/Chasing__Stars/status/683425828177227776
Sampath,@spakkal,2016-01-03T23:59:39.000Z,"Sampath
@spakkal
·
Jan 3, 2016",@CalConfidence $tripchowdhury is another dumb analyst talking crap about a Co. who grew 35% & it is a good time for $aapl  buyback $lowprice,,,,,[],https://twitter.com/spakkal/status/683799918520201216
moof,@moof15,2016-01-03T23:54:31.000Z,"moof
@moof15
·
Jan 3, 2016",Apple planning R&D investment in Indonesia to scale up. http://iphone.appleinsider.com/articles/15/11/11/apple-plans-indonesia-rd-investment-to-meet-new-phone-sales-rule… $AAPL $IPhone,,,,,[],https://twitter.com/moof15/status/683798626787815429
Stock Forums,@stock_forums,2016-01-03T23:51:13.000Z,"Stock Forums
@stock_forums
·
Jan 3, 2016","SHLX Shell Midstream Partners, LP Message Board Posts
http://dlvr.it/D9jbzZ

$SHLX $BTFL $GOOG $AAPL #SHLX #stock #finance",,,,,['https://pbs.twimg.com/card_img/1640353348250488832/21aMmjK9?format=png&name=360x360'],https://twitter.com/stock_forums/status/683797793710850048
Pollux Technical,@PolluxTechnical,2016-01-03T23:50:24.000Z,"Pollux Technical
@PolluxTechnical
·
Jan 3, 2016","How's that 
@Carl_C_Icahn
 self interested push and plan for stock buyback $AAPL?",,,,,[],https://twitter.com/PolluxTechnical/status/683797591390326784
Pipsfinder,@africamoneyexpo,2016-01-03T23:49:32.000Z,"Pipsfinder
@africamoneyexpo
·
Jan 3, 2016",#Pipsfinder Story: #Apple Inc. (AAPL) May Move iPhone 7 Launch to First Half of 2016 - … … ,,,,,"['https://pbs.twimg.com/media/CX1WFhaWMAAGYw_?format=jpg&name=small', 'https://pbs.twimg.com/media/CX1VB6lWMAEsl01?format=jpg&name=small']",https://twitter.com/africamoneyexpo/status/683797371352907776
Binary Options Guard,@BinaryTrading13,2016-01-03T23:44:57.000Z,"Binary Options Guard
@BinaryTrading13
·
Jan 3, 2016",RT https://twitter.com/DayTradeWarrior/status/683793976747552768… Paper #Trading Simulator | Learn to Trade Like a Pro!http://bit.ly/1OP8zDX $AAPL $FB… https://pic.twitter.com/MCS7etF6VG,,,,1,[],https://twitter.com/BinaryTrading13/status/683796220184281088
StephanieJLogan,@stephaniejlogan,2016-01-03T23:44:00.000Z,"StephanieJLogan
@stephaniejlogan
·
Jan 3, 2016",#Apple Inc. (AAPL) May Move iPhone 7 Launch to First Half of 2016 - http://trendking.xyz/apple-inc-aapl-may-move-iphone-7-launch-to-first-half-of-2016/…,,,,,['https://pbs.twimg.com/media/CX1U0e7UsAAPXwi?format=jpg&name=small'],https://twitter.com/stephaniejlogan/status/683795979137462272
LindaNSerna,@lindanserna,2016-01-03T23:43:58.000Z,"LindaNSerna
@lindanserna
·
Jan 3, 2016",#Apple Inc. (AAPL) May Move iPhone 7 Launch to First Half of 2016 - http://trendking.xyz/apple-inc-aapl-may-move-iphone-7-launch-to-first-half-of-2016/…,,,,,['https://pbs.twimg.com/media/CX1U0F4UwAAsp5V?format=jpg&name=small'],https://twitter.com/lindanserna/status/683795972413984768
KatherineACarruthers,@katherineacarr2,2016-01-03T23:43:55.000Z,"KatherineACarruthers
@katherineacarr2
·
Jan 3, 2016",#Apple Inc. (AAPL) May Move iPhone 7 Launch to First Half of 2016 - http://trendking.xyz/apple-inc-aapl-may-move-iphone-7-launch-to-first-half-of-2016/…,,,,,['https://pbs.twimg.com/media/CX1UzWwUAAA_sJU?format=jpg&name=small'],https://twitter.com/katherineacarr2/status/683795959881412609
ElayneNSteele,@elayne_steele,2016-01-03T23:43:54.000Z,"ElayneNSteele
@elayne_steele
·
Jan 3, 2016",#Apple Inc. (AAPL) May Move iPhone 7 Launch to First Half of 2016 - http://trendking.xyz/apple-inc-aapl-may-move-iphone-7-launch-to-first-half-of-2016/…,,,,,['https://pbs.twimg.com/media/CX1Uy90U0AIO2-O?format=jpg&name=small'],https://twitter.com/elayne_steele/status/683795953078288385
jonas Quinn,@jonasQuinn23,2016-01-05T23:58:53.000Z,"jonas Quinn
@jonasQuinn23
·
Jan 5, 2016",This is utterly bonkers! Apple gets zero respect! Is it because of CEO Cook? $aapl,,1,,1,"['https://pbs.twimg.com/profile_images/988861817303785473/x2pL_qn8_normal.jpg', 'https://pbs.twimg.com/media/CX97HAVWYAEnJAF?format=png&name=900x900']",https://twitter.com/jonasQuinn23/status/684524499203559424
Frazer Rice,@frazerrice,2016-01-05T23:56:31.000Z,"Frazer Rice
@frazerrice
·
Jan 5, 2016",All I want is a black string for my wrist that keeps track of everything & displays the info on my iPhone - #AAPL,,,,,['https://pbs.twimg.com/profile_images/1559949003642609666/uLlta10Y_normal.jpg'],https://twitter.com/frazerrice/status/684523906967973889
Charles V Payne,@cvpayne,2016-01-05T23:54:42.000Z,"Charles V Payne
@cvpayne
·
Jan 5, 2016","Replying to 
@HaroldHawkins8",,1,1,,[],https://twitter.com/cvpayne/status/684523448513773568
MacHash,@MacHashNews,2016-01-05T23:53:19.000Z,"MacHash
@MacHashNews
·
Jan 5, 2016",Tablo brings live TV and OTA DVR capabilities to Apple TV http://dlvr.it/DBhFFT #Macworld $AAPL,,,,,['https://pbs.twimg.com/media/CX_qIeVUQAEpxGj?format=jpg&name=small'],https://twitter.com/MacHashNews/status/684523099753025536
Jane Danett,@DanettJane,2016-01-05T23:52:33.000Z,"Jane Danett
@DanettJane
·
Jan 5, 2016","#Important Stocks News Analysis: Apple (NASDAQ:AAPL), NCR (NYSE:NCR), Opko ... - http://appleworld.xyz/important-stocks-news-analysis-apple-nasdaqaapl-ncr-nysencr-opko/…",,,,,[],https://twitter.com/DanettJane/status/684522906802647040
yumiko,@gz_yumiko,2016-01-05T23:46:11.000Z,"yumiko
@gz_yumiko
·
Jan 5, 2016","$SPY $AAPL 341 stocks appeared death cross 2016-01-05 more info, please check http://options-er.herokuapp.com/death",,,,,[],https://twitter.com/gz_yumiko/status/684521304842604544
yumiko,@gz_yumiko,2016-01-05T23:46:11.000Z,"yumiko
@gz_yumiko
·
Jan 5, 2016","$SPY $AAPL 34 stocks appeared golden cross 2016-01-05 more info, please check http://options-er.herokuapp.com/golden",,,,,[],https://twitter.com/gz_yumiko/status/684521304226058241
