Date,PriceDiff
2016-01-04,9.720703125
2016-01-05,-252.150390625
2016-01-06,-392.41015625
2016-01-07,-167.6494140625
2016-01-08,52.1201171875
2016-01-11,117.650390625
2016-01-12,-364.810546875
2016-01-13,227.6396484375
2016-01-14,-390.9697265625
2016-01-15,27.939453125
2016-01-19,-249.279296875
2016-01-20,115.939453125
2016-01-21,210.830078125
2016-01-22,-208.2900390625
2016-01-25,282.0107421875
2016-01-26,-222.7705078125
2016-01-27,125.1796875
2016-01-28,396.6611328125
2016-01-29,-17.12109375
2016-02-01,-295.6396484375
2016-02-02,183.1201171875
2016-02-03,79.919921875
2016-02-04,-211.6103515625
2016-02-05,-177.919921875
2016-02-08,-12.669921875
2016-02-09,-99.6396484375
2016-02-10,-254.560546875
2016-02-11,313.66015625
2016-02-12,222.5703125
2016-02-16,257.419921875
2016-02-17,-40.400390625
2016-02-18,-21.439453125
2016-02-19,228.669921875
2016-02-22,-188.880859375
2016-02-23,53.2109375
2016-02-24,212.298828125
2016-02-25,-57.318359375
2016-02-26,-123.470703125
2016-02-29,348.580078125
2016-03-01,34.240234375
2016-03-02,44.580078125
2016-03-03,62.869140625
2016-03-04,67.1796875
2016-03-07,-109.849609375
2016-03-08,36.259765625
2016-03-09,-5.228515625
2016-03-10,218.1796875
2016-03-11,15.8203125
2016-03-14,22.3984375
2016-03-15,74.23046875
2016-03-16,155.73046875
2016-03-17,120.810546875
2016-03-18,21.568359375
2016-03-21,-41.298828125
2016-03-22,-79.98046875
2016-03-23,13.140625
2016-03-24,19.66015625
2016-03-28,97.71875
2016-03-29,83.55078125
2016-03-30,-31.5703125
2016-03-31,107.66015625
2016-04-01,-55.75
2016-04-04,-133.6796875
2016-04-05,112.73046875
2016-04-06,-174.08984375
2016-04-07,35.0
2016-04-08,-20.55078125
2016-04-11,164.83984375
2016-04-12,187.029296875
2016-04-13,18.150390625
2016-04-14,-28.96875
2016-04-15,106.69921875
2016-04-18,49.439453125
2016-04-19,42.669921875
2016-04-20,-113.75
2016-04-21,21.23046875
2016-04-22,-26.509765625
2016-04-25,13.080078125
2016-04-26,51.23046875
2016-04-27,-210.791015625
2016-04-28,-57.119140625
2016-04-29,117.51953125
2016-05-02,-140.25
2016-05-03,-99.650390625
2016-05-04,9.451171875
2016-05-05,79.919921875
2016-05-06,-34.720703125
2016-05-09,222.439453125
2016-05-10,-217.23046875
2016-05-11,9.380859375
2016-05-12,-185.1796875
2016-05-13,175.390625
2016-05-16,-180.73046875
2016-05-17,-3.361328125
2016-05-18,-91.21875
2016-05-19,65.5390625
2016-05-20,-8.009765625
2016-05-23,213.12109375
2016-05-24,145.458984375
2016-05-25,-23.220703125
2016-05-26,44.931640625
2016-05-27,-86.021484375
2016-05-31,2.470703125
2016-06-01,48.890625
2016-06-02,-31.5
2016-06-03,113.26953125
2016-06-06,17.94921875
2016-06-07,66.771484375
2016-06-08,-19.861328125
2016-06-09,-119.849609375
2016-06-10,-132.859375
2016-06-13,-57.66015625
2016-06-14,-34.650390625
2016-06-15,92.9296875
2016-06-16,-57.939453125
2016-06-17,129.708984375
2016-06-20,24.861328125
2016-06-21,-48.900390625
2016-06-22,230.240234375
2016-06-23,-610.3203125
2016-06-24,-260.509765625
2016-06-27,269.48046875
2016-06-28,284.958984375
2016-06-29,235.310546875
2016-06-30,19.37890625
2016-07-01,-108.75
2016-07-05,78.0
2016-07-06,-22.73828125
2016-07-07,250.859375
2016-07-08,80.189453125
2016-07-11,120.740234375
2016-07-12,24.44921875
2016-07-13,134.291015625
2016-07-14,10.140625
2016-07-15,16.5
2016-07-18,25.958984375
2016-07-19,36.01953125
2016-07-20,-77.798828125
2016-07-21,53.619140625
2016-07-22,-77.7890625
2016-07-25,-19.310546875
2016-07-26,-1.580078125
2016-07-27,-15.8203125
2016-07-28,-24.109375
2016-07-29,-27.73046875
2016-08-01,-90.740234375
2016-08-02,41.23046875
2016-08-03,-2.94921875
2016-08-04,191.478515625
2016-08-05,-14.240234375
2016-08-08,3.76171875
2016-08-09,-37.390625
2016-08-10,117.859375
2016-08-11,-37.048828125
2016-08-12,59.580078125
2016-08-15,-84.03125
2016-08-16,21.919921875
2016-08-17,23.759765625
2016-08-18,-45.12890625
2016-08-19,-23.150390625
2016-08-22,17.880859375
2016-08-23,-65.8203125
2016-08-24,-33.0703125
2016-08-25,-53.009765625
2016-08-26,107.58984375
2016-08-29,-48.689453125
2016-08-30,-53.419921875
2016-08-31,18.419921875
2016-09-01,72.66015625
2016-09-02,46.158203125
2016-09-06,-11.978515625
2016-09-07,-46.23046875
2016-09-08,-394.4609375
2016-09-09,239.62109375
2016-09-12,-258.3203125
2016-09-13,-31.98046875
2016-09-14,177.7109375
2016-09-15,-88.6796875
2016-09-16,-3.630859375
2016-09-19,9.791015625
2016-09-20,163.73828125
2016-09-21,98.76171875
2016-09-22,-131.01171875
2016-09-23,-166.619140625
2016-09-26,133.470703125
2016-09-27,110.939453125
2016-09-28,-195.791015625
2016-09-29,164.701171875
2016-09-30,-54.30078125
2016-10-03,-85.400390625
2016-10-04,112.580078125
2016-10-05,-12.529296875
2016-10-06,-28.009765625
2016-10-07,88.548828125
2016-10-10,-200.37890625
2016-10-11,15.5390625
2016-10-12,-45.259765625
2016-10-13,39.44140625
2016-10-14,-51.98046875
2016-10-17,75.5390625
2016-10-18,40.6796875
2016-10-19,-40.26953125
2016-10-20,-16.638671875
2016-10-21,77.318359375
2016-10-24,-53.759765625
2016-10-25,30.060546875
2016-10-26,-29.650390625
2016-10-27,-8.490234375
2016-10-28,-18.76953125
2016-10-31,-105.3203125
2016-11-01,-77.458984375
2016-11-02,-28.970703125
2016-11-03,-42.390625
2016-11-04,371.3203125
2016-11-07,73.140625
2016-11-08,256.94921875
2016-11-09,218.19140625
2016-11-10,39.779296875
2016-11-11,21.029296875
2016-11-14,54.37109375
2016-11-15,-54.919921875
2016-11-16,35.6796875
2016-11-17,-35.890625
2016-11-18,88.759765625
2016-11-21,67.1796875
2016-11-22,59.310546875
2016-11-23,68.9609375
2016-11-25,-54.240234375
2016-11-28,23.69921875
2016-11-29,1.98046875
2016-11-30,68.349609375
2016-12-01,-21.509765625
2016-12-02,45.8203125
2016-12-05,35.5390625
2016-12-06,297.83984375
2016-12-07,65.19140625
2016-12-08,142.0390625
2016-12-09,39.580078125
2016-12-12,114.78125
2016-12-13,-118.681640625
2016-12-14,59.7109375
2016-12-15,-8.830078125
2016-12-16,39.650390625
2016-12-19,91.55859375
2016-12-20,-32.658203125
2016-12-21,-23.080078125
2016-12-22,14.9296875
2016-12-23,11.228515625
2016-12-27,-111.359375
2016-12-28,-13.900390625
2016-12-29,-57.1796875
2016-12-30,119.16015625
2017-01-03,60.400390625
2017-01-04,-42.87109375
2017-01-05,64.51171875
2017-01-06,-76.419921875
2017-01-09,-31.8515625
2017-01-10,98.75
2017-01-11,-63.279296875
2017-01-12,-5.26953125
2017-01-13,-58.9609375
2017-01-17,-22.048828125
2017-01-18,-72.3203125
2017-01-19,94.849609375
2017-01-20,-27.400390625
2017-01-23,112.861328125
2017-01-24,155.798828125
2017-01-25,32.400390625
2017-01-26,-7.130859375
2017-01-27,-122.6484375
2017-01-30,-107.041015625
2017-01-31,26.849609375
2017-02-01,-6.029296875
2017-02-02,186.55078125
2017-02-03,-19.041015625
2017-02-06,37.869140625
2017-02-07,-35.94921875
2017-02-08,118.060546875
2017-02-09,96.96875
2017-02-10,142.791015625
2017-02-13,92.25
2017-02-14,107.44921875
2017-02-15,7.91015625
2017-02-16,4.28125
2017-02-17,118.94921875
2017-02-21,32.599609375
2017-02-22,34.720703125
2017-02-23,11.439453125
2017-02-24,15.6796875
2017-02-27,-25.19921875
2017-02-28,303.310546875
2017-03-01,-112.580078125
2017-03-02,2.740234375
2017-03-03,-51.37109375
2017-03-06,-29.580078125
2017-03-07,-69.029296875
2017-03-08,2.458984375
2017-03-09,44.791015625
2017-03-10,-21.5
2017-03-13,-44.111328125
2017-03-14,112.73046875
2017-03-15,-15.548828125
2017-03-16,-19.931640625
2017-03-17,-8.759765625
2017-03-20,-237.849609375
2017-03-21,-6.708984375
2017-03-22,-4.720703125
2017-03-23,-59.859375
