UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
Night King,@sig_57,2020-01-01T19:57:17.000Z,"Night King
@sig_57
·
Jan 1, 2020","Replying to 
@Smart2Chart
 and 
@BlackfishFinanc",,,,,[],https://twitter.com/sig_57/status/1212462818437615617
Chris,@Smart2Chart,2020-01-01T19:32:21.000Z,"Chris
@Smart2Chart
·
Jan 1, 2020","Replying to 
@BlackfishFinanc",😎,2,,,[],https://twitter.com/Smart2Chart/status/1212456545511849984
Carlos Valadez (Charlie),@itscharliemar,2020-01-01T17:36:29.000Z,"Carlos Valadez (Charlie)
@itscharliemar
·
Jan 1, 2020","205%+ ROI, in the last month! 

$2,800 to $8,400!  That’s right!

Another amazing screenshot of progress after becoming a member! Shoutout to Chris! 

That’s just what’s happens when you join the leading league of traders! #MARSQUAD! 

$JPM $PINS $ZM $WMT $HD $ULTA $KHC $TSLA",💸 🔥,1,4,9,['https://pbs.twimg.com/ext_tw_video_thumb/1212427328787234818/pu/img/0_o096iTYHoq2ySc.jpg'],https://twitter.com/itscharliemar/status/1212427385607458816
TonyStonk,@TheTonyStonk,2020-01-01T07:22:58.000Z,"TonyStonk
@TheTonyStonk
·
Jan 1, 2020","Replying to 
@BlueChipDailyTR",,,,,[],https://twitter.com/TheTonyStonk/status/1212272992329310208
Dakota Financial,@dakotafinancial,2020-01-01T05:38:36.000Z,"Dakota Financial
@dakotafinancial
·
Jan 1, 2020",Brokerages Set Zoom Video Communications Inc $ZM Target Price at $80.77 http://dakotafinancialnews.com/?p=1415474,,,,,[],https://twitter.com/dakotafinancial/status/1212246724007407616
mark,@MKT_Gunslinger,2020-01-01T04:09:14.000Z,"mark
@MKT_Gunslinger
·
Dec 31, 2019","$60k buys for #NewYearsEve #NewYears #NewYearsEve2020 Tier1:$7,500 $twlo $team +$10k $crwd . Tier2: $6,500 $pgny $rng + $zm. Tier3: $3,000-> $coup $shop $zen $plan $zs #stockmarket #stocks #wallst #wallstreet $spx $qqq $qqqq #economics #finance #intraday #chart overlayed w/ $spy",,1,,1,['https://pbs.twimg.com/media/ENKvg7EXkAAZLn-?format=jpg&name=medium'],https://twitter.com/MKT_Gunslinger/status/1212224235013386241
Bill Tai,@KiteVC,2020-01-01T01:48:22.000Z,"Bill Tai
@KiteVC
·
Dec 31, 2019","$ZM  Zoom (NASDAQ:ZM) CFO sees a much bigger opportunity beyond UCaaS http://cmlviz.com/2019/12/30/ZM/-zoom-cfo-sees-a-much-bigger-opportunity-beyond-ucaas.html… via 
@CMLviz",,,,1,[],https://twitter.com/KiteVC/status/1212188784806117376
Bill Tai,@KiteVC,2020-01-01T01:48:22.000Z,"Bill Tai
@KiteVC
·
Dec 31, 2019","$ZM  Zoom (NASDAQ:ZM) CFO sees a much bigger opportunity beyond UCaaS http://cmlviz.com/2019/12/30/ZM/-zoom-cfo-sees-a-much-bigger-opportunity-beyond-ucaas.html… via 
@CMLviz",,,,,[],https://twitter.com/KiteVC/status/1212188784806117376
Scott,@livetradepro,2020-01-02T23:50:37.000Z,"Scott
@livetradepro
·
Jan 2, 2020","View stocks that we're trading now, with higher expectations. Entry/exit signals based on technical analysis. Charts plus highlights today on these positions. $PTON $PAGS $NUGT $CHNG $GH $ZM $LK $CHWY 
Discover more. https://livetradepro.com",,,,,[],https://twitter.com/livetradepro/status/1212883928887021573
ChartMill,@ChartMill,2020-01-02T21:43:05.000Z,"ChartMill
@ChartMill
·
Jan 2, 2020","$PII, $BYND and $ZM identified by our stock screener as being in a weinstein stage 1 setup phase.",,,,,[],https://twitter.com/ChartMill/status/1212851834408321024
SheepWolf,@realsheepwolf,2020-01-02T20:36:00.000Z,"SheepWolf
@realsheepwolf
·
Jan 2, 2020","$VERB DISRUPTIVE TECH TRADING AT 5 YEAR LOWS!
BUSINESS IS BOOMING!
PATENT PENDING TECH-RIVALS $ZM AND HUGE BIG TECH INTEGRATIONS
OVER 800k MEMBERS WITH RECURRING REVENUE AND BACKLOG

$AUPH $KODK $SAVA $FCEL $SIRI $OBLN $FB $MIRM $MCD $CLSD $ONTX $CYCN $THMO $CLSD $RAD $SUNW",💫 💫 💫 💫,,7,7,['https://pbs.twimg.com/media/EL65pJ2W4AEpERR.jpg'],https://twitter.com/realsheepwolf/status/1212834950489100288
SheepWolf,@realsheepwolf,2020-01-02T20:00:00.000Z,"SheepWolf
@realsheepwolf
·
Jan 2, 2020","$VERB THIS IS WHERE ""REAL"" MONEY IS MADE-BUYING BOTTOMS 
BUYING 5 YEAR LOWS 
PATENT PENDING-DISRUPTIVE TECH THAT RIVALS $ZM AND HUGE BIG TECH INTEGRATIONS 
OVER 800K MEMBERS 

$AUPH $ACAD $PTI $DFFN $DLTH $CRM $SEAC $AAPL $GENE $EYEG $JNCE $GE $BABA $SFET $VERU $ECA $ACB",💫 💫 💫 💫,4,5,6,['https://pbs.twimg.com/media/EMD_iPxWwAAi1Ik.jpg'],https://twitter.com/realsheepwolf/status/1212825892159930374
Michael Batts,@mchlbtts,2020-01-03T23:48:34.000Z,"Michael Batts
@mchlbtts
·
Jan 3, 2020","#RT 
@InteractiveVid2
: RT 
@UHDTrader
: $VERB - Cup & Handle Formation In Effect as Handle is now being formed on the 20day 1hr chart!  Exponential Gains Coming#partnerships w/ $CRM $MSFT $ADBE $ORCL $IT $SHOP #Odoo. New Tech makes $ZM obsolete $PACD …",🔜 💣,2,2,3,[],https://twitter.com/mchlbtts/status/1213245798961614849
mark,@MKT_Gunslinger,2020-01-03T21:45:41.000Z,"mark
@MKT_Gunslinger
·
Jan 3, 2020",$plan $team $spy $twlo $crwd $zen $rng $pgny $shop $coup $zm $zs 3 month returns and today's returns overlapped. #charts #stockchart #saas #wallstreet #econ #economics #stockmarket  #money #business,,,,,[],https://twitter.com/MKT_Gunslinger/status/1213214876010786816
