date,news_headline
12/30/2021,Cathie Wood's Ark Continues To Book Profit In Tesla — These Are The Stocks It Bought On Thursday
12/30/2021,"DJ For Months, Tesla and Ark Innovation Shares Moved in Synch. Then They Diverged. -- Barrons.com"
12/30/2021,Why Zoom Video Shares Are Rising Today
12/30/2021,Why Cathie Wood Sees Stocks Of Innovative Companies 'Maligned This Year' Be Rewarded 'Handsomely' In 2022
12/30/2021,3 Stocks to Buy Before You Kiss 2021 Goodbye
12/30/2021,Read What Makes Citic Securities Bullish On Zoom
12/30/2021,Bargain Hunters: 3 Innovative Stocks Down 37% to 77% Worth Buying Now
12/29/2021,Why Calix Stock Popped Today
12/29/2021,ARK Invest Stocks To Buy And Watch: 7 Stocks That Cathie Wood's ARK ETFs Own; Tesla Reverses Lower
12/29/2021,"DJ Tech's Worst 2021 Performers Include Telco, Videogame, and Payments Stocks -- Barrons.com"
12/28/2021,DJ Tesla and Ark Innovation Used to Be Joined at the Hip. Not Anymore. -- Barrons.com
12/28/2021,Zoom Video Communications Whale Trades For December 28
12/28/2021,Destination Aesthetics Medical Spa plans fifth local site
12/28/2021,"Zoom (ZM) Buys Liminal Assets, Improves Virtual Event Abilities"
12/28/2021,Valuations for stay-at-home stocks still need to adjust - Bleakley analyst
12/28/2021,3 Cooled-Off Cathie Wood Stocks Set for a Big Rebound in 2022
12/28/2021,"T. Rowe Price U.S. Large-Cap Core Fund, Inc. ..."
12/28/2021,Is PayPal Still a Buy After Falling 18% in 2021?
12/28/2021,3 Cathie Wood Stocks That Could Soar in 2022
12/28/2021,Zoom Acquires Certain Assets From Liminal For Undisclosed Sum
12/28/2021,Zoom buys assets from event production start-up Liminal
12/28/2021,"Ershares Entrepreneurs Etf Buys Oracle Corp, Regeneron Pharmaceuticals Inc, Cintas Corp, Sells ..."
12/27/2021,"Cathie Wood Sells Another $61.6M In Tesla, Continues Profit Booking"
12/27/2021,"Zoom Buys a Company to Grow Its Events Business, Services"
12/27/2021,Cathie Wood expects ARK Invest picks to return up to 40% over 5 years despite 2021 slide — 3 tech stocks she champions could get you in on a rebound
12/27/2021,ARK Invest Stocks To Buy And Watch: 7 Stocks That Cathie Wood's ARK ETFs Own; Tesla Races Higher
12/27/2021,RingCentral vs. Zoom Video: Which Communications Software Stock is a Better Buy?
12/27/2021,Is Zoom Stock A Buy? Bears Fret Over Microsoft Teams Essentials
12/27/2021,"Microsoft, Salesforce Battle to Revitalize Customer Service"
12/26/2021,3 Top Tech Stocks to Buy for 2022
12/24/2021,"Rational Insider Buy VA Buys OppFi Inc, SoFi Technologies Inc, SoFi Technologies Inc, Sells ..."
12/24/2021,"The ""Rule Breaker Investing"" Podcast Looks Back at the Best of 2021"
12/24/2021,5 Struggling Stocks to Buy at a Discount
12/24/2021,These 5 Stocks Moved the Market in 2021
12/23/2021,Zoom Video Communications Whale Trades Spotted
12/23/2021,Jim Simons’ Renaissance Technologies Portfolio: 10 Dividend Stocks With Over 15% Yield
12/23/2021,Better Omicron Stock: Zoom Video Communications vs. Roku
12/23/2021,3 Stocks Cathie Wood Is Buying That Should Be on Your List Too
12/22/2021,'Paterson schools to go fully remote until January 18 as NJ COVID cases surge' - ABC7 New York
12/22/2021,Why Is Zoom Video (ZM) Down 3.5% Since Last Earnings Report?
