date,news_headline
2020/02/28,Samsung’s Galaxy S20 Ultra Has a 100X Zoom Camera. So We Tested It With a Private Eye. 
2020/03/02,Zoom Video Faces Health Check 
2020/03/04,Zoom Video Posts Fourth-Quarter Net Profit on 78% Revenue Growth
2020/03/04,Zoom Video Buffered by Reality Check 
2020/03/05,"Stocks to Watch: Guidewire Software, Zoom Video, United Airlines"
2020/03/12,Slack Isn’t Zooming Yet       
2020/03/21,"Zoom, CNBC and Jigsaw Puzzles: How America’s Shut-In Families Are Spending Their Days"
2020/03/27,Who’s Zooming Whom?
2020/04/01,Booming Interest in Zoom Cocktail Hour Comes With Corporate Hangover 
2020/04/02,"Don’t Get Bombed: How to Host Zoom Meetings, Hangouts, Houseparty and More"
2020/04/03,Why Zoom Meetings Can Exhaust Us
2020/04/04,Zoom CEO: ‘I Really Messed Up’ on Video Platform’s Security
2020/04/05,Zoombombing Harms the Alcoholics Anonymous Community
2020/04/06,Zoom’s Runaway Success Carries a Heavy Burden 
2020/04/08,"Birthday Parties Amid Coronavirus: Zoom, Parades, Tossing Gifts Through Windows"
2020/04/13,Microsoft Isn’t Cutting Zoom Any Slack
2020/04/13,What It’s Like to Teach Sixth-Grade Science Over Zoom
2020/04/14,Generation Zoom Makes Do
2020/04/15,Hair Accessories to Make a Statement on Zoom—Even on Mute
2020/04/16,Zoom Hires Security Heavyweights to Fix Flaws
2020/04/16,Verizon Buys Zoom Conferencing Rival BlueJeans 
2020/04/18,Our Zoom Future: Will Coronavirus Change Friendship Forever?
2020/04/23,Zoom Fatigue Is Real
2020/04/24,Facebook Launches Its Answer to Zoom 
2020/04/26,The Doctor Will Zoom You Now
2020/04/27,Facebook Isn’t Zoom’s Biggest Problem
2020/04/29,Zoom Adds Oracle to Its List of Cloud Providers 
2020/05/01,These Magic Tricks Let Kids Wow Grandparents on Zoom
2020/05/02,"Tips for Training Your Dog Via Zoom: Sit, Stay, Don’t Lick the Screen"
2020/05/06,Former National-Security Adviser H.R. McMaster Joins Zoom Board 
2020/05/06,How to Prevent Zoom-Judgment of Your Bookshelves
2020/05/16,Open the Bottle and Zoom: California Wineries Try Online Tastings 
2020/05/23,"Aspiring Filmmaker’s Covid-Era Career Move: Spoofing Zoom, Parodying Trump"
2020/05/27,Why Does Zoom Exhaust You? Science Has an Answer
2020/06/02,Zoom’s Boom Has a Price 
2020/06/02,Zoom Lifts Full-Year Sales Outlook as Coronavirus Boosts Demand 
2020/06/02,"Warner Music, ZoomInfo Poised to Boost IPO Market"
2020/06/02,Microsoft Takes On Zoom and Slack in a Battle for Your Work Computer
2020/06/04,ZoomInfo Soars in Trading Debut
2020/06/06,The Staying Inside Guide: Waltz of the Zoom Screens
2020/06/11,Zoom’s China Ties Under Scrutiny After It Muzzles Human-Rights Group
2020/06/16,‘Zoom Fatigue’: Readers Weigh In on the Rise of Remote Meetings
2020/07/12,Seven Rules of Zoom Meeting Etiquette From the Pros 
2020/07/15,Zoom Targets Prolonged Remote-Work Era as Coronavirus Drags On 
2020/07/15,Zoom’s Muted Hardware Call 
2020/07/21,Zoom Reconnects Family and Friends in the Coronavirus Pandemic—but Will It Last?
2020/07/29,Elite Private Schools to Test Preschoolers Over Zoom 
2020/08/05,The Ultimate Zoom Look? Tuck Your Shirt Into Sweats Like Reagan
2020/08/11,Startup Office Firm Taking on Zoom in Virtual World 
2020/08/13,The Zoom Call That Set College Football Ablaze
2020/08/24,"Zoom Restored After Outage Brings Down Virtual Meetings, Classrooms"
2020/08/31,Zoom’s Unpredictable Path to Glory
