,tweet,Date
1,The Best Apple Inc. Headlines in 2015: Apple (NASDAQ: AAPL ) shares headed into the last day of 2015 priced ne... http://bit.ly/1Vvdjnx,2016-01-01
7,Trending Tech Stocks | AAPL | NEON | PLUG | BBRY | FB http://cnafinance.com/trending-tech-stocks-aapl-neon-plug-bbry-fb/2213…,2016-01-01
8,"""iPhone fitness apps to help you keep that New Year's resolution"" $AAPL http://appleinsider.com/articles/16/01/01/iphone-fitness-apps-to-help-you-keep-that-new-years-resolution…",2016-01-01
9,$aapl selling 1.2 mill iphones in India in F16Q1 & 3.3 mill for F16,2016-01-01
10,"How to trade when a stock you are holding gaps down - http://bit.ly/1PDukLQ 
@PaulJSingh
 #stocks #trading $aapl",2016-01-02
11,"@tim_cook
 - We should be able to make iPhone read #eBook outloud w/out buying Audio Book format $AAPL $AMZN $GOOGL 
@amazon
 @google
 #Apple",2016-01-02
12,"RWM Short Russell 2000 Fund Stock Message Board
http://dlvr.it/D9KpVz

$RWM $AAPL $EEM $FSLR #RWM #share #share",2016-01-02
13,"Replying to 
@chigrl",2016-01-02
14,"$ERBB Stock Forum Updated Saturday, January 2, 2016 6:41:23 PM $AAPL $EPGL $NWBO $MINE http://dlvr.it/D9Kjph",2016-01-02
15,"$AAPL Financials Updated Saturday, January 2, 2016 6:41:23 PM $DOLV $PFSD $SIPC $TPAC http://dlvr.it/D9Knfq",2016-01-02
16,"$PPHM Recent News Updated Saturday, January 2, 2016 6:41:23 PM $AXXE $AAPL $TPAC $ONE http://dlvr.it/D9Kjhm",2016-01-02
17,I think $aapl will be doing just fine this year. Mobbed.,2016-01-02
18,How to make iOS 9's default apps disappear http://dlvr.it/D9KTL3 #AppleInsider $AAPL,2016-01-02
19,"$NOW Opinions Updated Saturday, January 2, 2016 5:45:47 PM $LTNC $BTFL $GDAR $AAPL http://dlvr.it/D9KGhL",2016-01-02
20,@CalConfidence $tripchowdhury is another dumb analyst talking crap about a Co. who grew 35% & it is a good time for $aapl  buyback $lowprice,2016-01-03
21,Apple planning R&D investment in Indonesia to scale up. http://iphone.appleinsider.com/articles/15/11/11/apple-plans-indonesia-rd-investment-to-meet-new-phone-sales-rule… $AAPL $IPhone,2016-01-03
