,Date,tweet
1,,best apple inc headline 2015 apple nasdaq aapl share headed last day 2015 priced ne URL 
7,,trending tech stock aapl neon plug bbry fb URL 
8,,iphone fitness apps help keep new year resolution aapl URL 
9,,aapl selling mill iphones india f16q1 mill f16 
10,,trade stock holding gap URL USER stock trading aapl 
11,,USER able make iphone read ebook outloud buying audio book format aapl amzn googl USER USER apple 
12,,rwm short russell 200 fund stock message board URL rwm aapl eem fslr rwm share share 
13,,replying USER 
14,,erbb stock forum updated saturday january 2016 41 23 pm aapl epgl nwbo mine URL 
15,,aapl financials updated saturday january 2016 41 23 pm dolv pfsd sipc tpac URL 
16,,pphm recent news updated saturday january 2016 41 23 pm axxe aapl tpac one URL 
17,,think aapl fine year mobbed 
18,,make io default apps disappear URL appleinsider aapl 
19,,opinion updated saturday january 2016 45 47 pm ltnc btfl gdar aapl URL 
20,,USER tripchowdhury another dumb analyst talking crap co grew 35 good time aapl buyback lowprice 
21,,apple planning investment indonesia scale URL aapl iphone 
22,,shlx shell midstream partner lp message board post URL shlx btfl goog aapl shlx stock finance 
23,,USER self interested push plan stock buyback aapl 
24,,pipsfinder story apple inc aapl may move iphone launch first half 2016 
25,,rt URL paper trading simulator learn trade like pro URL aapl fb URL 
26,,apple inc aapl may move iphone launch first half 2016 URL 
30,,utterly bonkers apple get zero respect ceo cook aapl 
31,,want black string wrist keep track everything display info iphone aapl 
33,,tablo brings live tv ota dvr capability apple tv URL macworld aapl 
34,,important stock news analysis apple nasdaq aapl ncr nyse ncr opko URL 
35,,spy aapl 341 stock appeared death cross 2016 01 05 info please check URL 
36,,spy aapl 34 stock appeared golden cross 2016 01 05 info please check URL 
37,,remember time 40 month passed apple stock price went nowhere aapl 
38,,t3 live daily recap looking direction URL spy uso xle wmt tgt fit amzn googl fb baba bidu aapl 
39,,pro street estimate apple need come aapl URL URL 
40,,apple supplier drop globally iphone output cut report nikkei URL via USER aapl 
41,,know wallstreet price aapl 148 URL 
42,,junior analyst trying figure aapl supply chain 
43,,aapl stock trade five time company earnings b4 interest tax depreciation amortization excluding huge cash holding 
44,,epgl short sale updated wednesday january 2016 41 20 pm groc gnpt aapl gnpt URL 
45,,usmj stock forum updated wednesday january 2016 41 20 pm axxe gdar aapl tdcp 
