date,news_headline
2020-12-30,AMC Cinema Chain Files to Offer 50 Million More Shares
2020-12-30,AMC Entertainment (AMC) files to offer up to 50M shares of its class A common stock from time to time for estimated proceeds of up to $124.75M.AMC rises 0.9% in premarket trading.Plans
2020-12-29,Imax Corp (NYSE: IMAX) CEO Richard Gelfond spoke about movie theaters’ bull case in a
2020-12-28,"Wonder Woman 1984 was considered a success for both cinema operators and the streaming services.But it's Disney ([[DIS]], +3.3%) that's reaping the gains today, rather than Warner Bros. parent AT&T ([[T]], -0.1%).Other"
2020-12-28,Theater chain names head higher in premarket trading after Wonder Woman 1984's $16.4M box-office take over the Christmas holiday weekend indicates that audiences are willing to return to movie theaters.AMC
2020-12-28,Theater chain names head higher in premarket trading after Wonder Woman 1984's $16.4M box-office take over the Christmas holiday weekend indicates that audiences are willing to return to movie theaters.AMC
2020-12-15,Gainers: Xcel Brands (XELB) +15%. Elys Game Technology (ELYS) +14%. Esports Entertainment Group (GMBL) +12%. Camping World Holdings (CWH) +11%. Revolve Group (RVLV) +11%.Losers: China Liberal Education Holdings (CLEU) -16%. Meten EdtechX
2020-12-15,"[[IMAX]] is up 2.5% after a price target boost at Benchmark, reacting to higher upside as COVID-19 vaccines move toward general availability. There's a ""bounce-back trade of nearly 50%"" if"
2020-12-14,"AMC Entertainment (AMC) has tumbled today, -16.5%, as positive vibes from a vaccine rollout are swamped by new liquidity concerns. The company filed to offer up to 178M shares and"
2020-12-14,Gainers: BioCardia (BCDA) +102%.Arvinas (ARVN) +91%.Rubius Therapeutics (RUBY) +56%.Veru (VERU) +48%.AnPac Bio-Medical Science (ANPC) +45%.Homology Medicines (FIXX) +32%.ReneSola (SOL) +32%.Alexion Pharmaceuticals (ALXN) +31%.BioLineRx (BLRX) +30%.Big Rock Partners Acquisition (BRPA) +23%.Losers: Aerpio Pharmaceuticals (ARPO) -48%.Greenwich
2020-12-14,Gainers: Calyxt (CLXT) +16%. BlueCity Holdings (BLCT) +14%. Liquidity Services (LQDT) +10%. Malibu Boats (MBUU) +9%. Penn National Gaming (PENN) +9%.Losers: AMC Entertainment Holdings (AMC) -18%. Fossil Group (FOSL) -16%. Entercom Communications
2020-12-13,"The Past Week, In A Nutshell What Happened: After auctioning to new all-time highs, U.S. index futures moved back into balance."
2020-12-11,The world’s largest theater-chain operator says it needs $750 million next year as it strikes a bond deal.
2020-12-11,"Is AMC Entertainment Holdings Inc (NYSE:AMC) a good place to invest some of your money right now? We can gain invaluable insight to help us answer that question by studying the investment trends of top investors, who employ world-class Ivy League graduates, who are given immense resources and industry contacts to put their financial expertise […]"
2020-12-11,"AMC Entertainment Holdings said on Friday it will get a $100 million investment from Mudrick Capital Management, a shot in the arm for the cash-strapped movie theater operator struggling with delayed Hollywood releases and theater closures."
2020-12-11,"AMC Entertainment Holdings, owner of Odeon Cinemas, is burning through $125m a month."
2020-12-11,"AMC Entertainment (AMC) secures a commitment to receive $100M in cash on January 15, 2021 from New York-based Mudrick Capital Management as a result of a new first lien debt financing.Mudrick Capital"
2020-12-11,AMC Entertainment Holdings Inc. needs to raise at least $750 million to stay open and might go bankrupt if the effort doesn’t succeed.
2020-12-11,"AMC Entertainment Holdings Inc. (""AMC"" or the ""Company"") (NYSE: AMC) announced today that it has secured a commitment to receive $100 million in cash on January 15, 2021 from New York-based Mudrick Capital Management as a result of a new first lien debt financing."
2020-12-11,AMC Entertainment shares slumped lower Friday after the struggling movie theatre company warned that it needed at least $750 billion in additional funding in order to avoid bankruptcy next year.
2020-12-11,AMC Entertainment -4% (AMC) committed to issue an aggregate of 21.978M common shares in a private placement.The common shares will be issued as consideration for (i) the commitment provided by Mudrick with
2020-12-04,"The impact of the major Warner Bros. ([[T]], +1.3%) decision to go with a cinema-streaming model for major 2021 releases ""will be much lower than initially feared,"" according to B. Riley"
2020-12-04,"There is now legitimate concern that even beyond the pandemic, moviegoers may never return to theaters at the same levels as before the pandemic."
2020-12-03,Theater Chains Vexed by Warner Bros.’ Straight-to-Streaming Move
2020-12-03,"(Bloomberg Opinion) -- Warner Bros. and HBO Max, two units of AT&T Inc., just delivered a crushing blow to movie theaters. All of the studio’s films set for release next year — including “The Suicide Squad,” “Dune” and “The Matrix 4” — will go straight to the HBO Max streaming service at the same time that they play in cinemas. While Warner executive Ann Sarnoff sees it as a “unique one-year plan,” let’s be honest, it’s not. Even as Covid-19 vaccines near approval, it could be a while before consumers feel safe returning to the close confines of a shut-in movie theater. In the latest Morning Consult poll of 2,200 U.S. adults conducted in the final days of November, 51% said it would be four to six months or even longer before they’d feel comfortable resuming trips to the movies; another 26% said they didn’t know or didn’t have an opinion on it. By the time most people do feel safe going, many still may not want to. What I wrote in October — as exhibitor AMC Entertainment Inc. warned of possible bankruptcy — bears repeating:We have learned to live without movie theaters. Even the ones that make it through the crisis may find that online-streaming apps have stolen away audiences for good.Unlike amusement-park rides and cruises, which have been equally paralyzed by the pandemic, the movie experience can be replicated at home — and sometimes more cheaply and conveniently. It will be that much harder for theater chains to bounce back. The place cinemas have in our culture and history, and the thousands of jobs they provide, makes it all the more tragic. But consumers keep signaling that going to the movies is more of an occasional treat when there’s a must-see blockbuster film than a regular habit. That’s not enough to support 40,449 movie screens in the U.S., the latest total published by the National Association of Theater Owners. As I noted in October, higher ticket prices have helped give the false sense that box-office sales are climbing, when in fact adjusting for inflation shows that they’ve gradually fallen over the last 20 years:Companies such as AT&T and Walt Disney Co. are responding as they must by going where audiences are. And that’s at home. The box office is a crucial source of profit for the Hollywood giants, but prioritizing that over streaming will only hurt them in the long run as Netflix Inc. rounds the corner on 200 million subscribers. The first domino fell in July, when Comcast Corp.’s Universal Studios struck an agreement with AMC to cut short the time its films play exclusively at theaters. Then Disney, the single most important company to movie-theater businesses, bypassed them and put “Mulan” directly on Disney+ in September for a viewing fee of $30. Last week, I wrote that Disney+ would be smart to offer a “box-office pass” subscription tier for movie fans willing to pay up for continuing virtual access to new theatrical releases. HBO Max, which costs $15 a month, won't charge anything extra for its films, for now at least.Shares of AT&T popped slightly on its announcement Thursday, while AMC and Cinemark Holdings Inc. plunged 16% and 22%, respectively. Just beforehand, as my colleague Brian Chappatta noted, AMC’s most-traded bonds had rallied to 35 cents, up from only 5 cents in early November. As for Disney and its peers, streaming has been a money-losing venture so far. But the fastest way to start turning a profit is to sign up lots of people. And Netflix has shown that the way to do that is to flood them with content — all the better if it’s movie-theater-quality films. Now that Warner Bros. is planning to do just that in 2021, it’s hard to imagine them turning back. This column does not necessarily reflect the opinion of the editorial board or Bloomberg LP and its owners.Tara Lachapelle is a Bloomberg Opinion columnist covering the business of entertainment and telecommunications, as well as broader deals. She previously wrote an M&A column for Bloomberg News.For more articles like this, please visit us at bloomberg.com/opinionSubscribe now to stay ahead with the most trusted business news source.©2020 Bloomberg L.P."
2020-12-03,The pandemic-era decision by Warner Bros. (T) to send all 17 of its 2021 movies to streaming on the same day as theatrical release is sending a shock throughout the
2020-12-03,The pandemic-era decision by Warner Bros. (T) to send all 17 of its 2021 movies to streaming on the same day as theatrical release is sending a shock throughout the
2020-12-03,WarnerMedia's announcement that it will release all its 2021 Warner Bros. films on its HBO Max platform at the same the movies hit theaters sent theater chain stocks lower.
2020-12-03,"AMC Entertainment (AMC) -6.7% pre-market after filing to sell as many as 200M Class A shares at a proposed $4.22/share.Based on yesterday's $4.32 closing price, the offering could be worth"
2020-12-03,Express (EXPR) -27% on Q3 earnings release.Splunk (SPLK) -21% on Q3 earnings release.Veritone (VERI) -20% on planned stock offering.Golar LNG (GLNG) -11% after launch offer of 11M shares in public offering.Merrimack Pharmaceuticals (MACK) -10%.AMC Entertainment Holdings (AMC) -7%.Obalon Therapeutics
2020-11-26,"The only major Thanksgiving title arriving in movie theaters this year is Dreamwork's (CMCSA) The Croods: A New Age. At best, the film could reach between $10M-$15M during its first"
2020-11-25,"French President Macron has unveiled a plan to partially (and gradually) lift COVID-19 restrictions, which includes allowing the country's movie theaters to reopen somewhat on Dec. 15. That opens a"
