date,news_headline
12/31/2020,"Tesla leads list of 2020's biggest winners on both S&P 500, Nasdaq 100"
12/31/2020,Will Zoom Or Cisco Stock Grow More By 2022?
12/31/2020,"Zoom Video, Cloudflare, and Fastly led tech gainers as work from home defined 2020"
12/31/2020,Zoom users push back against company's bid to axe privacy case
12/31/2020,"2021 Predictions From Loup Ventures: Apple First Among FAANG, A Tesla Robotaxi, New Peloton Equipment"
12/31/2020,"Zoom, Shopify and Nvidia Were Tech Winners in 2020. What Will Win in 2021?"
12/30/2020,The same stocks keep making the year's winners and losers list
12/29/2020,Apple stock's stunning 2020 in three stats
12/29/2020,"The Zacks Analyst Blog Highlights: TSLA, JPM, FDX, ENPH and ZM"
12/28/2020,Margin Debt Reaches New High
12/28/2020,"Zoom (ZM) Explores Email, Messaging, Calendar Services"
12/28/2020,3 Tech Stocks to Watch in 2021
12/24/2020,Zoom Video named top 2021 pick by D.A. Davidson during attractive pullback
12/24/2020,"Alibaba, Square, Zoom Video, Nikola - Thursday's Premarket Movers"
12/24/2020,"S&P 500 Trackers Miss Out On Tesla, Moderna, Zoom Billions"
12/23/2020,"Zoom Video Reportedly Mulls Corporate E-mail, Calendars"
12/23/2020,"Zoom Video Reportedly Developing Email, Calendars"
12/23/2020,Zoom Video reportedly planning corporate email service; WFH tech stocks pull back
12/23/2020,"Zoom Wants To Launch Email, Calendar Service: Reports"
12/21/2020,Survivorship Bias May Be Tricking You Into Taking Too Many Investing Risks
12/21/2020,"DocuSign, Check Point lead work from home gainers on new COVID-19 strain, SolarWinds breach tailwinds"
12/21/2020,3 Big Tech Stocks for the January Effect
12/21/2020,"Zoom Video reveals SEC, state AG probes while addressing DoJ charges against former employee"
12/21/2020,"Benzinga Pro's Top 5 Stocks To Watch For Monday, Dec. 21, 2020: EYEG, NKE, ZM, WMT, AIM"
12/18/2020,RingCentral Takes on Zoom’s and Slack’s Hold Over Meeting Culture
12/18/2020,U.S. charges China-based Zoom executive with disrupting Tiananmen crackdown commemorations
12/18/2020,DOJ charges Zoom China exec with conspiracy for disrupting Tiananmen Square memorial meetings
12/18/2020,Zoom Employee Is Charged With Censoring Tiananmen Dissidents
12/18/2020,Zoom brings back free calls for December holiday season
12/18/2020,WhatsApp Says Can Confirm Co Is Testing Desktop Audio And Video Calling; Says Hope To Make Desktop Audio And Video Calling Available To Everyone As Soon As Possible In 2021
12/18/2020,Zoom's Christmas gift: no cap on call lengths over the holidays
12/17/2020,"After banner year, comms software has potential in 2021 with focus on pure plays - Morgan Stanley"
12/17/2020,"Software Faces a Tricky 2021, Morgan Stanley Says. How They’d Play It."
12/17/2020,Fastly (FSLY) stock among lockdown names continuing to gain on climbing virus cases
12/16/2020,The Biggest Stock Surprises of 2020
12/16/2020,"Zoom sets up R&D center in Singapore, doubles capacity at first Southeast Asia data center"
12/16/2020,Zoom to set up R&D centre and hire hundreds of engineers in Singapore
12/15/2020,RingCentral launches free video meeting product Glip
12/15/2020,"DocuSign, CrowdStrike stocks among software gainers as investors return to pandemic lockdown stocks"
12/15/2020,"Ellison moves out of California, using Zoom to run Oracle"
12/11/2020,Adobe Is Well Positioned To Capture Opportunity Ahead
12/11/2020,"Despite Positive Vaccine Outlook, Value Stocks May Still Find Themselves In Trouble Long-Term"
12/11/2020,"Sequoia Capital Scores Big Wins With Airbnb, DoorDash IPOs"
12/10/2020,Pandemic-related tech stocks continue rally after yesterday's pullback
12/09/2020,"J.P. Morgan downgrades these high-multiple software names, expecting a rotation with vaccine recovery"
12/09/2020,"Benzinga Global Small Cap Conference Day 2 Recap: Ideanomics, LiveXLive, EVs And Much More"
12/09/2020,"Okta, Zoom Video shares lead WFH software decliners after JPMorgan downgrade on post-vaccine underperformance"
12/09/2020,Zoom Video Could Disappointment Younger Buyers
12/09/2020,"It’s Time to Shift Away From Zoom Video and Other Covid-19 Tech Plays, J.P. Morgan Says. What to Buy Instead."
12/09/2020,Kevin O'Leary: 'I'm So Glad I'm An Investor In America 2.0'
12/09/2020,JP Morgan Downgrades Zoom Video Communications to Neutral
12/08/2020,"Cisco Wakes Up and Overhauls Webex. Look Out, Zoom Video."
12/07/2020,Evercore's quarterly IT spending survey points to 'robust' 2021; here are its favored firms from the results
12/07/2020,How Smart Glasses Are Transforming The Healthcare Industry During COVID-19
12/07/2020,"Our Company of the Year is a good investment, even a year later"
12/07/2020,"Tesla, Wirecard — A Long-Short Bet Has Helped 'Tiger Cub' Post 52% Gains This Year"
12/04/2020,Optimism About Toll Brothers and Zoom Video
12/04/2020,"Zoom: Shares Could Be Volatile but Rosy Outlook Remains Intact, Says Analyst"
12/04/2020,"Verb Technology Co., Inc. Is Transforming The Way Companies Do Business"
12/03/2020,Slack’s CEO Is Back in The Passenger Seat After Salesforce Deal
12/02/2020,Is Zoom's Rally Stalling?
12/02/2020,"Zoom Delivered, But Its Meteoric Rise Appears To Be Slowing Down"
12/02/2020,Cramer Is Bullish On Zoom Despite Two-Day Selloff
12/02/2020,"Apple Names 15 Best iPhone, iPad Apps Of 2020 — Helpfulness In Pandemic Takes Center Stage"
12/01/2020,Zoom Slides as Earnings Raise Post-Pandemic Growth Questions
12/01/2020,Zoom Video Could Fall Further If Support Doesn't Materialize
12/01/2020,Josh Brown And Jon Najarian Are Still Bullish On Zoom Video
12/01/2020,VOXX International and Kohl's among consumer gainers; Zoom Video and Nikola among losers
12/01/2020,"Zoom stock falls after Q3 beats as analysts question valuation, post-pandemic growth potential"
12/01/2020,"Zoom's (ZM) Q3 Earnings Top Estimates, Revenues Jump Y/Y"
12/01/2020,"Zoom Video slumps, but work-from-home beat the S&P last month: At the Open"
12/01/2020,"Zoom Video Communications, CureVac leads premarket losers' pack"
12/01/2020,"Tesla, Salesforce, Slack, Zoom Video, Jerome Powell - 5 Things You Must Know Tuesday"
12/01/2020,Zoom Earnings Beat Wall Street Estimates But Shares Dip 5% After Hours on Disappointing Margins
11/30/2020,Zoom Video Wins Big Again But Investors Aren't Impressed
